Parameters,iRBCs NF54-CSA,iRBCs FCR3-CSA,uiRBCs,Mechanical stimulus,Unidades
K salida ATP en función del tiempo,0.0011530946550856013,0.0024214524687499735,0.0010304119345347356,0.00039400979910728025,nM salida/(min**2)
ATP0,0.27937488105871644,0.3716691146303277,0.26174500225245884,0.3443235060884861,nM
Suma residuales,0.7720066101649228,5.236443889363448,1.8651483902762338,0.04222459683747581,
N,22.0,24.0,24.0,12.0,
Akaike,-67.69570163917582,-30.537869027236795,-55.31311715005438,-61.795908168957595,
