Parameters,iRBCs NF54-CSA,iRBCs FCR3-CSA,uiRBCs,Mechanical stimulus,Unidades
K salida basal,0.016869499830216586,0.01686316400838854,2.2058245559268975e-14,0.006000419401767198,nM salida/min
K salida ATP en función del tiempo,0.0004035972237801613,0.001722499816522405,0.0010304119354034756,0.00014428637258203554,nM salida/(min**2)
ATP0,0.215301480639811,0.3043496944824339,0.2617450012915723,0.32003248091949416,nM
Suma residuales,0.6692388494196506,5.12306537934429,1.8651483902763024,0.03495721380127215,
N,22.0,24.0,24.0,12.0,
Akaike,-68.83844765050846,-29.063220725123735,-53.31311715005349,-62.0624449350245,
