Parameters,iRBCs NF54-CSA,iRBCs FCR3-CSA,uiRBCs,Mechanical stimulus,Unidades
ATP en función del tiempo,0.0250509143287773,0.05516144841879037,0.022561219276765097,0.009200174104644614,nM salida/min
ATP0,0.18960085347331007,0.17556488920761945,0.18764105989256116,0.3091532229646463,nM
Suma residuales,0.6960775238422849,5.7576396099780975,2.163942685704886,0.03719634316553895,
N,22.0,24.0,24.0,12.0,
Akaike,-69.97340725431586,-28.260629509472267,-51.746926921521535,-63.31741769189563,
