Data;iRBCs NF54-CSA;iRBCs FCR3-CSA;cmRBCs-FCR3;Mechanical stimulus;cmRBCs-NF54
Parameter kefflux-variable;(1.15 ± 0.15)x10-3;(2.42 ± 0.30)x10-3;(1.03 ± 0.17)x10-3;(0.39 ± 0.06)x10-3;(0.64 ± 0.08)x10-3
Initial [eATP];0.28 ± 0.05;0.37 ± 0.13;0.26 ± 0.08;0.34 ± 0.02;0.29 ± 0.03
Data points;22;24;24;12;22
Residuals sum;0.77;5.24;1.87;0.04;0.20
Akaike information criterion;-69.06;-31.97;-56.74;-62.46;-99.27
