Data;iRBCs NF54-CSA;iRBCs FCR3-CSA;uiRBCs;Mechanical stimulus
Maximal kefflux;0,031 ± 0,009;0,108 ± 0,122;10,000 ± 6998,890;0,011 ± 0,003
kefflux growth;(0,13 ± 0,16);(0,04 ± 0,07);(0,00 ± 0,07);(0,13 ± 0,20)
Initial [eATP];0,24 ± 0,06;0,34 ± 0,15;0,26 ± 0,09;0,33 ± 0,03
Data points;22;24;24;12
Residuals sum;0,67;5,14;1,87;0,03
Akaike information criterion;-69,59;-29,77;-54,11;-61,58
