Parameters,iRBCs NF54-CSA,iRBCs FCR3-CSA,cmRBCs-FCR3,Mechanical stimulus,cmRBCs-NF54,Unidades
Máxima salida,0.030509068462143615,0.10801583857214447,9.99990523008154,0.010829868484730831,0.017237250695541717,nM salida/min
Aumento de salida ATP,0.12713270015575762,0.03622133314185901,0.00010319916543736023,0.13444148260680902,0.12025573973973093,1/min
ATP0,0.23775695366690272,0.3353053826705009,0.26170314565553726,0.3271276493174623,0.2644143555001797,nM
Suma residuales,0.6665283727463179,5.143969766903165,1.8652434457333011,0.03348723082420225,0.1585229522144396,
N,22.0,24.0,24.0,12.0,22.0,
Akaike,-69.59439719171512,-29.765489298756936,-54.11189404477729,-61.57797278435336,-101.19043015949286,
