time_flux_min,Jefflux_nM_per_min,time_eATP_min,eATP_no_hydrolysis_nM
0.0,0.0,0.0,0.2617450022524588
0.1,0.00011530946550856,0.1,0.26175015431213144
0.2,0.00023061893101712,0.2,0.2617656104911495
0.30000000000000004,0.0003459283965256801,0.30000000000000004,0.26179137078951287
0.4,0.00046123786203424,0.4,0.26182743520722157
0.5,0.0005765473275428,0.5,0.2618738037442756
0.6000000000000001,0.0006918567930513602,0.6000000000000001,0.261930476400675
0.7000000000000001,0.0008071662585599201,0.7000000000000001,0.26199745317641976
0.8,0.00092247572406848,0.8,0.2620747340715099
0.9,0.00103778518957704,0.9,0.26216231908594534
1.0,0.0011530946550856,1.0,0.2622602082197261
1.1,0.0012684041205941602,1.1,0.2623684014728523
1.2000000000000002,0.0013837135861027204,1.2000000000000002,0.2624868988453238
1.3,0.00149902305161128,1.3,0.2626157003371406
1.4000000000000001,0.0016143325171198402,1.4000000000000001,0.2627548059483028
1.5,0.0017296419826284002,1.5,0.26290421567881034
1.6,0.00184495144813696,1.6,0.2630639295286632
1.7000000000000002,0.0019602609136455205,1.7000000000000002,0.26323394749786144
1.8,0.00207557037915408,1.8,0.263414269586405
1.9000000000000001,0.0021908798446626404,1.9000000000000001,0.2636048957942939
2.0,0.0023061893101712,2.0,0.2638058261215282
2.1,0.0024214987756797602,2.1,0.2640170605681078
2.2,0.0025368082411883204,2.2,0.26423859913403275
2.3000000000000003,0.0026521177066968805,2.3000000000000003,0.26447044181930307
2.4000000000000004,0.0027674271722054407,2.4000000000000004,0.2647125886239187
2.5,0.002882736637714,2.5,0.2649650395478797
2.6,0.00299804610322256,2.6,0.26522779459118606
2.7,0.0031133555687311203,2.7,0.26550085375383775
2.8000000000000003,0.0032286650342396805,2.8000000000000003,0.2657842170358348
2.9000000000000004,0.0033439744997482406,2.9000000000000004,0.26607788443717717
3.0,0.0034592839652568003,3.0,0.26638185595786495
3.1,0.00357459343076536,3.1,0.266696131597898
3.2,0.00368990289627392,3.2,0.26702071135727645
3.3000000000000003,0.0038052123617824804,3.3000000000000003,0.2673555952360002
3.4000000000000004,0.003920521827291041,3.4000000000000004,0.2677007832340694
3.5,0.0040358312927996,3.5,0.2680562753514838
3.6,0.00415114075830816,3.6,0.26842207158824366
3.7,0.00426645022381672,3.7,0.2687981719443488
3.8000000000000003,0.004381759689325281,3.8000000000000003,0.2691845764197993
3.9000000000000004,0.00449706915483384,3.9000000000000004,0.26958128501459516
4.0,0.0046123786203424,4.0,0.2699882977287364
4.1000000000000005,0.004727688085850961,4.1000000000000005,0.27040561456222295
4.2,0.0048429975513595205,4.2,0.27083323551505484
4.3,0.00495830701686808,4.3,0.2712711605872321
4.4,0.005073616482376641,4.4,0.27171938977875465
4.5,0.0051889259478852005,4.5,0.27217792308962263
4.6000000000000005,0.005304235413393761,4.6000000000000005,0.2726467605198359
4.7,0.005419544878902321,4.7,0.2731259020693945
4.800000000000001,0.005534854344410881,4.800000000000001,0.27361534773829854
4.9,0.00565016380991944,4.9,0.27411509752654784
5.0,0.005765473275428,5.0,0.2746251514341425
5.1000000000000005,0.005880782740936561,5.1000000000000005,0.27514550946108257
5.2,0.00599609220644512,5.2,0.2756761716073679
5.300000000000001,0.006111401671953681,5.300000000000001,0.2762171378729986
5.4,0.006226711137462241,5.4,0.2767684082579747
5.5,0.0063420206029708,5.5,0.27732998276229615
5.6000000000000005,0.006457330068479361,5.6000000000000005,0.2779018613859629
5.7,0.006572639533987921,5.7,0.278484044128975
5.800000000000001,0.006687948999496481,5.800000000000001,0.27907653099133245
5.9,0.006803258465005041,5.9,0.27967932197303524
6.0,0.006918567930513601,6.0,0.28029241707408337
6.1000000000000005,0.007033877396022161,6.1000000000000005,0.28091581629447687
6.2,0.00714918686153072,6.2,0.2815495196342157
6.300000000000001,0.007264496327039281,6.300000000000001,0.2821935270932999
6.4,0.00737980579254784,6.4,0.28284783867172947
6.5,0.0074951152580564,6.5,0.28351245436950434
6.6000000000000005,0.007610424723564961,6.6000000000000005,0.28418737418662454
6.7,0.0077257341890735205,6.7,0.2848725981230901
6.800000000000001,0.007841043654582082,6.800000000000001,0.28556812617890104
6.9,0.00795635312009064,6.9,0.28627395835405733
7.0,0.0080716625855992,7.0,0.28699009464855896
7.1000000000000005,0.008186972051107761,7.1000000000000005,0.2877165350624059
7.2,0.00830228151661632,7.2,0.2884532795955982
7.300000000000001,0.00841759098212488,7.300000000000001,0.28920032824813585
7.4,0.00853290044763344,7.4,0.28995768102001884
7.5,0.008648209913142,7.5,0.2907253379112472
7.6000000000000005,0.008763519378650561,7.6000000000000005,0.2915032989218209
7.7,0.008878828844159121,7.7,0.29229156405173995
7.800000000000001,0.00899413830966768,7.800000000000001,0.29309013330100436
7.9,0.00910944777517624,7.9,0.2938990066696141
8.0,0.0092247572406848,8.0,0.2947181841575692
