time_min,eATP_explants_nM
0.0,0.3716691146303277
0.1,0.3695060003831792
0.2,0.3673796899856366
0.30000000000000004,0.3652899692392952
0.4,0.363236625192385
0.5,0.3612194461325153
0.6000000000000001,0.35923822157946156
0.7000000000000001,0.35729274227799407
0.8,0.35538280019074864
0.9,0.35350818849113846
1.0,0.35166870155630753
1.1,0.3498641349601248
1.2000000000000002,0.34809428546621934
1.3,0.34635895102105596
1.4000000000000001,0.3446579307470509
1.5,0.3429910249357281
1.6,0.3413580350409146
1.7000000000000002,0.3397587636719765
1.8,0.33819301458709305
1.9000000000000001,0.33666059268657117
2.0,0.3351613040061978
2.1,0.33369495571063174
2.2,0.3322613560868333
2.3000000000000003,0.33086031453753295
2.4000000000000004,0.329491641574737
2.5,0.328155148813272
2.6,0.3268506489643662
2.7,0.3255779558292686
2.8000000000000003,0.3243368842929047
2.9000000000000004,0.32312725031756995
3.0,0.32194887093665914
3.1,0.32080156424843276
3.2,0.31968514940981935
3.3000000000000003,0.3185994466302542
3.4000000000000004,0.31754427716555356
3.5,0.316519463311825
3.6,0.31552482839941265
3.7,0.314560196786878
3.8000000000000003,0.31362539385501587
3.9000000000000004,0.31272024600090464
4.0,0.31184458063199183
4.1000000000000005,0.3109982261602136
4.2,0.3101810119961486
4.3,0.30939276854320596
4.4,0.30863332719184694
4.5,0.30790252031384036
4.6000000000000005,0.30720018125655124
4.7,0.30652614433726305
4.800000000000001,0.3058802448375326
4.9,0.3052623189975781
5.0,0.30467220401069967
5.1000000000000005,0.30410973801773233
5.2,0.30357476010153156
5.300000000000001,0.3030671102814906
5.4,0.30258662950808973
5.5,0.3021331596574776
5.6000000000000005,0.30170654352608356
5.7,0.3013066248252617
5.800000000000001,0.3009332481759661
5.9,0.30058625910345693
6.0,0.3002655040320373
6.1000000000000005,0.29997083027982074
6.2,0.2997020860535296
6.300000000000001,0.299459120443323
6.4,0.2992417834176553
6.5,0.2990499258181645
6.6000000000000005,0.2988833993545902
6.7,0.2987420565997214
6.800000000000001,0.2986257509843735
6.9,0.2985343367923944
7.0,0.29846766915570005
7.1000000000000005,0.2984256040493388
7.2,0.2984079982865841
7.300000000000001,0.29841470951405613
7.4,0.2984455962068718
7.5,0.2985005176638227
7.6000000000000005,0.2985793340025817
7.7,0.29868190615493656
7.800000000000001,0.29880809586205226
7.9,0.29895776566976
8.0,0.2991307789238744
8.1,0.2993269997655374
8.200000000000001,0.29954629312658937
8.3,0.29978852472496753
8.4,0.30005356106013065
8.5,0.3003412694085106
8.6,0.30065151781899047
8.700000000000001,0.30098417510840886
8.8,0.3013391108570903
8.9,0.301716195404402
9.0,0.30211529984433577
9.1,0.30253629602111665
9.200000000000001,0.30297905652483614
9.3,0.3034434546871115
9.4,0.3039293645767699
9.5,0.304436660995558
9.600000000000001,0.3049652194738762
9.700000000000001,0.30551491626653815
9.8,0.3060856283485543
9.9,0.3066772334109406
10.0,0.30728960985655135
10.100000000000001,0.3079226367959361
10.200000000000001,0.3085761940432212
10.3,0.3092501621120145
10.4,0.309944422211335
10.5,0.3106588562415649
10.600000000000001,0.3113933467904264
10.700000000000001,0.312147777128981
10.8,0.3129220312076527
10.9,0.3137159936522741
11.0,0.31452954976015524
11.100000000000001,0.315362585496176
11.200000000000001,0.31621498748890065
11.3,0.31708664302671513
11.4,0.31797744005398704
11.5,0.31888726716724775
11.600000000000001,0.3198160136113968
11.700000000000001,0.3207635692759283
11.8,0.3217298246911798
11.9,0.322714671024602
12.0,0.3237180000770512
12.100000000000001,0.32473970427910265
12.200000000000001,0.32577967668738567
12.3,0.32683781098093995
12.4,0.32791400145759325
12.5,0.3290081430303599
12.600000000000001,0.3301201312238606
12.700000000000001,0.3312498621707626
12.8,0.3323972326082411
12.9,0.33356213987446104
13.0,0.33474448190507905
13.100000000000001,0.33594415722976634
13.200000000000001,0.3371610649687515
13.3,0.33839510482938323
13.4,0.3396461771027136
13.5,0.3409141826601007
13.600000000000001,0.3421990229498313
13.700000000000001,0.34350059999376314
13.8,0.3448188163839868
13.9,0.34615357527950685
14.0,0.34750478040294247
14.100000000000001,0.3488723360372472
14.200000000000001,0.3502561470224478
14.3,0.351656118752402
14.4,0.35307215717157536
14.5,0.35450416877183666
14.600000000000001,0.3559520605892719
14.700000000000001,0.35741574020101724
14.8,0.3588951157221097
14.9,0.36039009580235687
15.0,0.3619005896232245
15.100000000000001,0.3634265068947422
15.200000000000001,0.36496775785242713
15.3,0.36652425325422583
15.4,0.3680959043774736
15.5,0.3696826230158715
15.600000000000001,0.3712843214764815
15.700000000000001,0.37290091257673824
15.8,0.374532309641479
15.9,0.37617842649999045
16.0,0.37783917748307283
16.1,0.3795144774201212
16.2,0.3812042416362234
16.3,0.3829083859492754
16.400000000000002,0.38462682666711295
16.5,0.3863594805846602
16.6,0.3881062649810948
16.7,0.38986709761702965
16.8,0.39164189673171085
16.900000000000002,0.3934305810402321
17.0,0.3952330697307653
17.1,0.39704928246180704
17.2,0.39887913935944164
17.3,0.4007225610146195
17.400000000000002,0.40257946848045173
17.5,0.4044497832695203
17.6,0.40633342735120404
17.7,0.40823032314901986
17.8,0.4101403935379799
17.900000000000002,0.41206356184196363
18.0,0.4139997518311057
18.1,0.4159488877191985
18.2,0.4179108941611101
18.3,0.41988569625021727
18.400000000000002,0.4218732195158533
18.5,0.4238733899207709
18.6,0.42588613385861934
18.7,0.427911378151437
18.8,0.42994905004715794
18.900000000000002,0.4319990772171333
19.0,0.4340613877536669
19.1,0.4361359101675654
19.200000000000003,0.4382225733857025
19.3,0.4403213067485975
19.400000000000002,0.44243204000800795
19.5,0.44455470332453617
19.6,0.4466892272652497
19.700000000000003,0.4488355428013157
19.8,0.45099358130564937
19.900000000000002,0.4531632745505753
20.0,0.4553445547055033
20.1,0.45753735433461706
20.200000000000003,0.4597416063945769
20.3,0.4619572442322353
20.400000000000002,0.46418420158236595
20.5,0.4664224125654064
20.6,0.46867181168521305
20.700000000000003,0.4709323338268299
20.8,0.47320391425427005
20.900000000000002,0.47548648860831
21.0,0.4777799929042969
21.1,0.4800843635299687
21.200000000000003,0.48239953724328655
21.3,0.48472545117028043
21.400000000000002,0.48706204280290666
21.5,0.48940924999691854
21.6,0.49176701096974873
21.700000000000003,0.4941352642984046
21.8,0.49651394891737516
21.900000000000002,0.4989030041165508
22.0,0.5013023695391547
22.1,0.5037119851796866
22.200000000000003,0.5061317913818781
22.3,0.5085617288366604
22.400000000000002,0.5110017385801433
22.5,0.5134517619916067
22.6,0.5159117407915028
22.700000000000003,0.518381617039471
22.8,0.5208613331323636
22.900000000000002,0.523350831802283
23.0,0.525850056114631
23.1,0.5283589494661686
23.200000000000003,0.5308774555830877
23.3,0.5334055185190939
23.400000000000002,0.5359430826535
23.5,0.5384900926893313
23.6,0.5410464936514418
23.700000000000003,0.5436122308846402
23.8,0.5461872500518288
23.900000000000002,0.5487714971321519
24.0,0.551364918419155
24.1,0.5539674605189553
24.200000000000003,0.5565790703484222
24.3,0.5591996951333692
24.400000000000002,0.5618292824067552
24.5,0.5644677800068977
24.6,0.5671151360756947
24.700000000000003,0.569771299056859
24.8,0.5724362176941603
24.900000000000002,0.5751098410296801
25.0,0.5777921184020746
25.1,0.5804829994448493
25.200000000000003,0.5831824340846425
25.3,0.5858903725395197
25.400000000000002,0.588606765317277
25.5,0.5913315632137551
25.6,0.5940647173111633
25.700000000000003,0.5968061789764121
25.8,0.5995558998594566
25.900000000000002,0.6023138318916492
26.0,0.6050799272841021
26.1,0.6078541385260584
26.200000000000003,0.610636418383274
26.3,0.6134267198964081
26.400000000000002,0.6162249963794232
26.5,0.6190312014179947
26.6,0.6218452888679292
26.700000000000003,0.6246672128535926
26.8,0.6274969277663469
26.900000000000002,0.6303343882629965
27.0,0.633179549264243
27.1,0.6360323659531498
27.200000000000003,0.6388927937736147
27.3,0.641760788428852
27.400000000000002,0.6446363058798833
27.5,0.6475193023440371
27.6,0.650409734293457
27.700000000000003,0.6533075584536189
27.8,0.656212731801856
27.900000000000002,0.659125211565894
28.0,0.6620449552223927
28.1,0.6649719204954981
28.200000000000003,0.6679060653554015
28.3,0.6708473480169078
28.400000000000002,0.6737957269380116
28.5,0.6767511608184821
28.6,0.6797136085984558
28.700000000000003,0.6826830294570374
28.8,0.6856593828109097
28.900000000000002,0.6886426283129499
29.0,0.6916327258508557
29.1,0.6946296355457784
29.200000000000003,0.6976333177509642
29.3,0.7006437330504033
29.400000000000002,0.7036608422574872
29.5,0.7066846064136733
29.6,0.7097149867871578
29.700000000000003,0.7127519448715562
29.8,0.715795442384591
29.900000000000002,0.7188454412667874
30.0,0.7219019036801769
30.1,0.724964792007008
30.200000000000003,0.7280340688484644
30.3,0.7311096970233911
30.400000000000002,0.7341916395670272
30.5,0.7372798597297467
30.6,0.7403743209758068
30.700000000000003,0.7434749869821023
30.8,0.7465818216369287
30.900000000000002,0.7496947890387514
31.0,0.7528138534949831
31.1,0.7559389795207669
31.200000000000003,0.7590701318377683
31.3,0.7622072753729722
31.400000000000002,0.7653503752574886
31.5,0.7684993968253647
31.6,0.7716543056124033
31.700000000000003,0.7748150673549888
31.8,0.77798164798892
31.900000000000002,0.7811540136482492
32.0,0.7843321306641285
32.1,0.787515965563663
32.2,0.7907054850687697
32.300000000000004,0.7939006560950441
32.4,0.7971014457506331
32.5,0.8003078213351141
32.6,0.803519750338381
32.7,0.8067372004395362
32.800000000000004,0.8099601395057903
32.9,0.8131885355913663
33.0,0.8164223569364117
33.1,0.8196615719659165
33.2,0.822906149288637
33.300000000000004,0.8261560576960268
33.4,0.8294112661611731
33.5,0.8326717438377398
33.6,0.8359374600589163
33.7,0.8392083843363731
33.800000000000004,0.8424844863592226
33.9,0.8457657359929865
34.0,0.8490521032785695
34.1,0.8523435584312379
34.2,0.8556400718396052
34.300000000000004,0.8589416140646233
34.4,0.8622481558385794
34.5,0.8655596680640986
34.6,0.8688761218131527
34.7,0.8721974883260748
34.800000000000004,0.8755237390105792
34.9,0.8788548454407873
35.0,0.8821907793562591
35.1,0.8855315126610304
35.2,0.8888770174226553
35.300000000000004,0.8922272658712551
35.4,0.8955822303985715
35.5,0.8989418835570265
35.6,0.9023061980587868
35.7,0.9056751467748343
35.800000000000004,0.9090487027340419
