time_min,eATP_explants_no_hydrolysis_nM
0.0,0.3716691146303277
0.1,0.37168122189267144
0.2,0.3717175436797027
0.30000000000000004,0.37177807999142143
0.4,0.3718628308278277
0.5,0.37197179618892146
0.6000000000000001,0.37210497607470266
0.7000000000000001,0.3722623704851714
0.8,0.37244397942032764
0.9,0.3726498028801714
1.0,0.37287984086470266
1.1,0.3731340933739214
1.2000000000000002,0.3734125604078276
1.3,0.37371524196642136
1.4000000000000001,0.3740421380497026
1.5,0.3743932486576713
1.6,0.3747685737903276
1.7000000000000002,0.3751681134476713
1.8,0.37559186762970254
1.9000000000000001,0.3760398363364213
2.0,0.3765120195678275
2.1,0.3770084173239212
2.2,0.37752902960470247
2.3000000000000003,0.3780738564101712
2.4000000000000004,0.3786428977403274
2.5,0.37923615359517115
2.6,0.37985362397470235
2.7,0.3804953088789211
2.8000000000000003,0.3811612083078273
2.9000000000000004,0.38185132226142104
3.0,0.3825656507397023
3.1,0.383304193742671
3.2,0.3840669512703272
3.3000000000000003,0.38485392332267093
3.4000000000000004,0.38566510989970215
3.5,0.38650051100142085
3.6,0.38736012662782704
3.7,0.38824395677892076
3.8000000000000003,0.38915200145470197
3.9000000000000004,0.3900842606551707
4.0,0.3910407343803269
4.1000000000000005,0.3920214226301706
4.2,0.39302632540470184
4.3,0.3940554427039205
4.4,0.3951087745278267
4.5,0.3961863208764204
4.6000000000000005,0.39728808174970165
4.7,0.39841405714767036
4.800000000000001,0.39956424707032656
4.9,0.40073865151767024
5.0,0.40193727048970146
5.1000000000000005,0.40316010398642016
5.2,0.40440715200782634
5.300000000000001,0.40567841455392006
5.4,0.40697389162470127
5.5,0.40829358322016995
5.6000000000000005,0.4096374893403261
5.7,0.41100560998516983
5.800000000000001,0.412397945154701
5.9,0.41381449484891974
6.0,0.4152552590678259
6.1000000000000005,0.4167202378114196
6.2,0.41820943107970077
6.300000000000001,0.4197228388726695
6.4,0.4212604611903257
6.5,0.42282229803266935
6.6000000000000005,0.4244083493997005
6.7,0.4260186152914192
6.800000000000001,0.4276530957078254
6.9,0.4293117906489191
7.0,0.43099470011470026
7.1000000000000005,0.43270182410516894
7.2,0.4344331626203251
7.300000000000001,0.4361887156601688
7.4,0.43796848322469994
7.5,0.43977246531391867
7.6000000000000005,0.4416006619278248
7.7,0.4434530730664185
7.800000000000001,0.4453296987296997
7.9,0.44723053891766834
8.0,0.44915559363032453
8.1,0.45110486286766815
8.200000000000001,0.45307834662969937
8.3,0.455076044916418
8.4,0.4570979577278242
8.5,0.45914408506391785
8.6,0.461214426924699
8.700000000000001,0.4633089833101677
8.8,0.46542775422032384
8.9,0.4675707396551675
9.0,0.4697379396146987
9.1,0.4719293540989173
