time_flux_min,Jefflux_nM_per_min,time_eATP_min,eATP_no_hydrolysis_nM
0.0,0.0,0.0,0.3443235060884861
0.1,3.9400979910720006e-05,0.1,0.34432547613748166
0.2,7.880195982144001e-05,0.2,0.34433138628446824
0.30000000000000004,0.00011820293973216003,0.30000000000000004,0.3443412365294459
0.4,0.00015760391964288003,0.4,0.3443550268724147
0.5,0.0001970048995536,0.5,0.3443727573133745
0.6000000000000001,0.00023640587946432005,0.6000000000000001,0.3443944278523254
0.7000000000000001,0.00027580685937504006,0.7000000000000001,0.3444200384892674
0.8,0.00031520783928576005,0.8,0.34444958922420044
0.9,0.00035460881919648004,0.9,0.3444830800571245
1.0,0.0003940097991072,1.0,0.3445205109880397
1.1,0.00043341077901792006,1.1,0.344561882016946
1.2000000000000002,0.0004728117589286401,1.2000000000000002,0.3446071931438433
1.3,0.0005122127388393601,1.3,0.3446564443687317
1.4000000000000001,0.0005516137187500801,1.4000000000000001,0.34470963569161117
1.5,0.0005910146986608001,1.5,0.3447667671124817
1.6,0.0006304156785715201,1.6,0.3448278386313433
1.7000000000000002,0.0006698166584822401,1.7000000000000002,0.344892850248196
1.8,0.0007092176383929601,1.8,0.34496180196303977
1.9000000000000001,0.0007486186183036801,1.9000000000000001,0.3450346937758746
2.0,0.0007880195982144,2.0,0.3451115256867005
2.1,0.0008274205781251201,2.1,0.34519229769551746
2.2,0.0008668215580358401,2.2,0.3452770098023255
2.3000000000000003,0.0009062225379465602,2.3000000000000003,0.34536566200712465
2.4000000000000004,0.0009456235178572802,2.4000000000000004,0.34545825430991484
2.5,0.0009850244977680001,2.5,0.3455547867106961
2.6,0.0010244254776787202,2.6,0.34565525920946844
2.7,0.0010638264575894402,2.7,0.34575967180623185
2.8000000000000003,0.0011032274375001603,2.8000000000000003,0.34586802450098636
2.9000000000000004,0.0011426284174108803,2.9000000000000004,0.3459803172937319
3.0,0.0011820293973216001,3.0,0.3460965501844685
3.1,0.0012214303772323202,3.1,0.3462167231731962
3.2,0.0012608313571430402,3.2,0.34634083625991496
3.3000000000000003,0.0013002323370537602,3.3000000000000003,0.34646888944462484
3.4000000000000004,0.0013396333169644803,3.4000000000000004,0.3466008827273257
3.5,0.0013790342968752,3.5,0.3467368161080177
3.6,0.0014184352767859201,3.6,0.34687668958670076
3.7,0.0014578362566966402,3.7,0.3470205031633749
3.8000000000000003,0.0014972372366073602,3.8000000000000003,0.3471682568380401
3.9000000000000004,0.0015366382165180803,3.9000000000000004,0.34731995061069637
4.0,0.0015760391964288,4.0,0.3474755844813437
4.1000000000000005,0.0016154401763395203,4.1000000000000005,0.3476351584499821
4.2,0.0016548411562502402,4.2,0.3477986725166116
4.3,0.00169424213616096,4.3,0.34796612668123217
4.4,0.0017336431160716803,4.4,0.3481375209438438
4.5,0.0017730440959824,4.5,0.3483128553044465
4.6000000000000005,0.0018124450758931203,4.6000000000000005,0.3484921297630403
4.7,0.0018518460558038402,4.7,0.34867534431962516
4.800000000000001,0.0018912470357145604,4.800000000000001,0.3488624989742011
4.9,0.0019306480156252802,4.9,0.34905359372676803
5.0,0.0019700489955360003,5.0,0.3492486285773261
5.1000000000000005,0.0020094499754467203,5.1000000000000005,0.34944760352587523
5.2,0.0020488509553574404,5.2,0.34965051857241547
5.300000000000001,0.0020882519352681604,5.300000000000001,0.34985737371694675
5.4,0.0021276529151788804,5.4,0.3500681689594691
5.5,0.0021670538950896,5.5,0.3502829042999825
5.6000000000000005,0.0022064548750003205,5.6000000000000005,0.350501579738487
5.7,0.00224585585491104,5.7,0.35072419527498255
5.800000000000001,0.0022852568348217606,5.800000000000001,0.3509507509094692
5.9,0.00232465781473248,5.9,0.35118124664194694
6.0,0.0023640587946432002,6.0,0.3514156824724157
6.1000000000000005,0.0024034597745539203,6.1000000000000005,0.35165405840087555
6.2,0.0024428607544646403,6.2,0.3518963744273265
6.300000000000001,0.0024822617343753604,6.300000000000001,0.3521426305517685
6.4,0.0025216627142860804,6.4,0.3523928267742016
6.5,0.0025610636941968,6.5,0.35264696309462573
6.6000000000000005,0.0026004646741075205,6.6000000000000005,0.3529050395130409
6.7,0.00263986565401824,6.7,0.3531670560294472
6.800000000000001,0.0026792666339289606,6.800000000000001,0.3534330126438446
6.9,0.00271866761383968,6.9,0.353702909356233
7.0,0.0027580685937504,7.0,0.3539767461666125
7.1000000000000005,0.0027974695736611203,7.1000000000000005,0.35425452307498306
7.2,0.0028368705535718403,7.2,0.3545362400813447
7.300000000000001,0.0028762715334825603,7.300000000000001,0.35482189718569745
7.4,0.0029156725133932804,7.4,0.35511149438804124
7.5,0.002955073493304,7.5,0.3554050316883761
7.6000000000000005,0.0029944744732147205,7.6000000000000005,0.35570250908670203
7.7,0.00303387545312544,7.7,0.35600392658301905
7.800000000000001,0.0030732764330361605,7.800000000000001,0.35630928417732716
7.9,0.00311267741294688,7.9,0.3566185818696263
8.0,0.0031520783928576,8.0,0.3569318196599165
8.1,0.0031914793727683202,8.1,0.35724899754819783
8.200000000000001,0.0032308803526790407,8.200000000000001,0.35757011553447016
8.3,0.0032702813325897603,8.3,0.35789517361873363
8.4,0.0033096823125004803,8.4,0.35822417180098814
8.5,0.0033490832924112004,8.5,0.3585571100812337
8.6,0.00338848427232192,8.6,0.35889398845947035
8.700000000000001,0.0034278852522326405,8.700000000000001,0.3592348069356981
8.8,0.0034672862321433605,8.8,0.3595795655099169
8.9,0.0035066872120540805,8.9,0.35992826418212676
9.0,0.0035460881919648,9.0,0.36028090295232773
9.1,0.00358548917187552,9.1,0.36063748182051975
9.200000000000001,0.0036248901517862407,9.200000000000001,0.3609980007867028
9.3,0.0036642911316969607,9.3,0.361362459850877
9.4,0.0037036921116076803,9.4,0.3617308590130422
9.5,0.0037430930915184004,9.5,0.36210319827319853
9.600000000000001,0.003782494071429121,9.600000000000001,0.3624794776313459
9.700000000000001,0.0038218950513398404,9.700000000000001,0.36285969708748433
9.8,0.0038612960312505605,9.8,0.36324385664161385
9.9,0.0039006970111612805,9.9,0.36363195629373446
10.0,0.0039400979910720006,10.0,0.3640239960438461
10.100000000000001,0.003979498970982721,10.100000000000001,0.36441997589194886
10.200000000000001,0.004018899950893441,10.200000000000001,0.36481989583804264
10.3,0.00405830093080416,10.3,0.3652237558821275
10.4,0.004097701910714881,10.4,0.3656315560242035
10.5,0.0041371028906256,10.5,0.3660432962642705
10.600000000000001,0.004176503870536321,10.600000000000001,0.3664589766023286
10.700000000000001,0.00421590485044704,10.700000000000001,0.3668785970383778
10.8,0.004255305830357761,10.8,0.367302157572418
10.9,0.0042947068102684805,10.9,0.3677296582044493
11.0,0.0043341077901792,11.0,0.3681610989344717
11.100000000000001,0.0043735087700899206,11.100000000000001,0.36859647976248516
11.200000000000001,0.004412909750000641,11.200000000000001,0.3690358006884897
11.3,0.004452310729911361,11.3,0.3694790617124853
11.4,0.00449171170982208,11.4,0.36992626283447194
11.5,0.0045311126897328,11.5,0.3703774040544497
11.600000000000001,0.004570513669643521,11.600000000000001,0.37083248537241853
11.700000000000001,0.004609914649554241,11.700000000000001,0.3712915067883784
11.8,0.00464931562946496,11.8,0.3717544683023294
11.9,0.00468871660937568,11.9,0.3722213699142714
12.0,0.0047281175892864005,12.0,0.3726922116242045
12.100000000000001,0.004767518569197121,12.100000000000001,0.37316699343212867
12.200000000000001,0.004806919549107841,12.200000000000001,0.3736457153380439
12.3,0.00484632052901856,12.3,0.37412837734195026
12.4,0.004885721508929281,12.4,0.37461497944384764
12.5,0.00492512248884,12.5,0.3751055216437361
12.600000000000001,0.004964523468750721,12.600000000000001,0.37560000394161563
12.700000000000001,0.00500392444866144,12.700000000000001,0.37609842633748625
12.8,0.005043325428572161,12.8,0.37660078883134795
12.9,0.00508272640848288,12.9,0.3771070914232007
13.0,0.0051221273883936,13.0,0.3776173341130445
13.100000000000001,0.0051615283683043205,13.100000000000001,0.3781315169008794
13.200000000000001,0.005200929348215041,13.200000000000001,0.3786496397867054
13.3,0.005240330328125761,13.3,0.3791717027705224
13.4,0.00527973130803648,13.4,0.37969770585233054
13.5,0.005319132287947201,13.5,0.3802276490321297
13.600000000000001,0.005358533267857921,13.600000000000001,0.38076153230992
13.700000000000001,0.005397934247768641,13.700000000000001,0.3812993556857013
13.8,0.00543733522767936,13.8,0.3818411191594737
13.9,0.005476736207590081,13.9,0.38238682273123714
14.0,0.0055161371875008,14.0,0.3829364664009917
14.100000000000001,0.005555538167411521,14.100000000000001,0.38349005016873733
14.200000000000001,0.0055949391473222405,14.200000000000001,0.38404757403447404
14.3,0.005634340127232961,14.3,0.3846090379982018
14.4,0.005673741107143681,14.4,0.38517444205992063
14.5,0.0057131420870544,14.5,0.3857437862196305
14.600000000000001,0.005752543066965121,14.600000000000001,0.3863170704773315
14.700000000000001,0.005791944046875841,14.700000000000001,0.3868942948330235
