time_flux_min,Jefflux_nM_per_min,time_eATP_min,eATP_no_hydrolysis_nM
0.0,0.0,0.0,0.2617450022524588
0.1,6.421954915237001e-05,0.1,0.26175015431213144
0.2,0.00012843909830474002,0.2,0.2617656104911495
0.30000000000000004,0.00019265864745711005,0.30000000000000004,0.26179137078951287
0.4,0.00025687819660948004,0.4,0.26182743520722157
0.5,0.00032109774576185,0.5,0.2618738037442756
0.6000000000000001,0.0003853172949142201,0.6000000000000001,0.261930476400675
0.7000000000000001,0.00044953684406659006,0.7000000000000001,0.26199745317641976
0.8,0.0005137563932189601,0.8,0.2620747340715099
0.9,0.00057797594237133,0.9,0.26216231908594534
1.0,0.0006421954915237,1.0,0.2622602082197261
1.1,0.0007064150406760701,1.1,0.2623684014728523
1.2000000000000002,0.0007706345898284402,1.2000000000000002,0.2624868988453238
1.3,0.00083485413898081,1.3,0.2626157003371406
1.4000000000000001,0.0008990736881331801,1.4000000000000001,0.2627548059483028
1.5,0.00096329323728555,1.5,0.26290421567881034
1.6,0.0010275127864379202,1.6,0.2630639295286632
1.7000000000000002,0.0010917323355902901,1.7000000000000002,0.26323394749786144
1.8,0.00115595188474266,1.8,0.263414269586405
1.9000000000000001,0.00122017143389503,1.9000000000000001,0.2636048957942939
2.0,0.0012843909830474,2.0,0.2638058261215282
2.1,0.00134861053219977,2.1,0.2640170605681078
2.2,0.0014128300813521402,2.2,0.26423859913403275
2.3000000000000003,0.0014770496305045102,2.3000000000000003,0.26447044181930307
2.4000000000000004,0.0015412691796568804,2.4000000000000004,0.2647125886239187
2.5,0.0016054887288092501,2.5,0.2649650395478797
2.6,0.00166970827796162,2.6,0.26522779459118606
2.7,0.0017339278271139903,2.7,0.26550085375383775
2.8000000000000003,0.0017981473762663602,2.8000000000000003,0.2657842170358348
2.9000000000000004,0.0018623669254187302,2.9000000000000004,0.26607788443717717
3.0,0.0019265864745711,3.0,0.26638185595786495
3.1,0.00199080602372347,3.1,0.266696131597898
3.2,0.0020550255728758403,3.2,0.26702071135727645
3.3000000000000003,0.00211924512202821,3.3000000000000003,0.2673555952360002
